TimeStart,TimeEnd,DurationMinutes,State,AllStates,IsTowerJump,ConfidenceLevel,RecordCount,StateChanges,MaxSpeedKMH,MaxDistanceKM,AvgLatitude,AvgLongitude
2022-01-03 13:50:00,2022-01-03 13:50:00,0.0,Connecticut,Connecticut,no,70.0,1,0,0.0,0.0,41.12475,-73.491694
2022-01-03 15:05:00,2022-01-03 15:17:00,12.0,New York,"New York, Connecticut",no,55.0,4,1,121.5,24.29,40.910308,-73.51158
2022-01-03 15:48:00,2022-01-03 15:55:00,7.0,New York,"New York, Connecticut",no,55.0,5,1,242.9,24.29,40.899502,-73.513806
2022-01-03 18:57:00,2022-01-03 18:57:00,0.0,Connecticut,Connecticut,no,70.0,1,0,0.0,0.0,41.146465,-73.491692
2022-01-03 20:35:00,2022-01-03 21:18:00,43.0,New York,New York,no,75.0,7,0,18.3,3.14,40.782889,-73.967779
2022-01-03 22:24:00,2022-01-03 22:24:00,0.0,Connecticut,Connecticut,no,70.0,1,0,0.0,0.0,41.172861,-73.496333
2022-01-04 00:26:00,2022-01-04 00:26:00,0.0,New York,New York,no,70.0,2,0,0.0,0.0,41.22256,-73.57165
2022-01-04 15:24:00,2022-01-04 15:36:00,12.0,New York,"New York, Connecticut",no,65.0,5,1,45.8,8.39,41.20268,-73.541523
2022-01-04 19:01:00,2022-01-04 19:01:00,0.0,New York,New York,no,70.0,1,0,0.0,0.0,41.19175,-73.55396
2022-01-04 19:33:00,2022-01-04 19:33:00,0.0,Connecticut,Connecticut,no,70.0,1,0,0.0,0.0,41.146465,-73.491692
2022-01-04 23:20:00,2022-01-04 23:20:00,0.0,Connecticut,Connecticut,no,70.0,1,0,0.0,0.0,41.14647,-73.49169
2022-01-05 18:51:00,2022-01-05 18:55:00,4.0,Connecticut,"New York, Connecticut",no,55.0,9,1,503.4,8.39,41.183905,-73.51307
2022-01-05 21:46:00,2022-01-05 22:05:00,19.0,Connecticut,Connecticut,no,65.0,4,0,43.9,6.58,41.114546,-73.477241
2022-01-06 02:04:00,2022-01-06 02:04:00,0.0,Florida,Florida,no,70.0,5,0,0.0,29.63,26.560123,-80.117726
2022-01-06 21:15:00,2022-01-06 21:16:00,1.0,Florida,Florida,no,70.0,2,0,0.0,0.0,26.677349,-80.049354
2022-01-08 21:17:00,2022-01-08 21:17:00,0.0,Florida,Florida,no,70.0,1,0,0.0,0.0,26.714611,-80.034294
2022-01-09 15:52:00,2022-01-09 15:54:00,2.0,Florida,Florida,no,70.0,3,0,0.0,0.0,26.685745,-80.249374
2022-01-09 19:27:00,2022-01-09 19:27:00,0.0,Florida,Florida,no,70.0,1,0,0.0,0.0,26.699303,-80.075911
2022-01-10 15:00:00,2022-01-10 15:10:00,10.0,Florida,Florida,no,65.0,3,0,83.0,7.48,26.72868,-80.042629
2022-01-10 17:35:00,2022-01-10 17:35:00,0.0,Florida,Florida,no,70.0,2,0,0.0,0.0,26.693183,-80.036078
2022-01-10 19:26:00,2022-01-10 19:35:00,9.0,Florida,Florida,no,70.0,4,0,0.0,0.0,26.693183,-80.036078
2022-01-10 20:19:00,2022-01-10 20:21:00,2.0,Florida,Florida,no,70.0,2,0,0.0,0.0,26.693183,-80.036078
2022-01-11 19:56:00,2022-01-11 20:17:00,21.0,Florida,Florida,no,70.0,4,0,0.0,0.0,26.702682,-80.036514
2022-01-12 13:39:00,2022-01-12 13:44:00,5.0,Florida,Florida,no,75.0,5,0,0.0,0.0,26.693426,-80.03597
2022-01-12 18:46:00,2022-01-12 18:46:00,0.0,Florida,Florida,no,70.0,1,0,0.0,0.0,26.727795,-80.050926
2022-01-13 19:55:00,2022-01-13 20:16:00,21.0,Florida,Florida,no,70.0,2,0,0.0,0.0,26.693183,-80.036078
2022-01-13 21:10:00,2022-01-13 21:10:00,0.0,Florida,Florida,no,70.0,1,0,0.0,0.0,26.693183,-80.036078
2022-01-13 23:02:00,2022-01-13 23:10:00,8.0,Florida,Florida,no,70.0,3,0,54.8,1.83,26.706107,-80.041295
2022-01-14 18:10:00,2022-01-14 18:18:00,8.0,New York,New York,no,75.0,7,0,0.0,0.0,40.782696,-73.957384
2022-01-14 21:05:00,2022-01-14 21:05:00,0.0,New York,New York,no,70.0,1,0,0.0,0.0,40.76108,-73.97483
2022-01-15 19:19:00,2022-01-15 20:15:00,56.0,Connecticut,Connecticut,no,60.0,9,0,243.5,90.97,41.434715,-72.928737
2022-01-15 21:06:00,2022-01-15 21:06:00,0.0,Massachusetts,Massachusetts,no,70.0,1,0,0.0,0.0,42.533199,-72.591797
2022-01-16 15:01:00,2022-01-16 15:13:00,12.0,Massachusetts,"Massachusetts, Connecticut",no,60.0,2,1,134.8,26.95,41.937819,-72.629059
2022-01-16 19:49:00,2022-01-16 19:49:00,0.0,New York,New York,no,70.0,1,0,0.0,0.0,41.067194,-73.703722
2022-01-16 20:35:00,2022-01-16 20:46:00,11.0,New York,New York,no,70.0,2,0,0.0,0.0,41.067194,-73.703722
2022-01-17 00:30:00,2022-01-17 01:53:00,83.0,Florida,Florida,yes,75.0,29,0,1465.0,66.31,26.770226,-80.097384
2022-01-17 02:53:00,2022-01-17 02:53:00,0.0,Florida,Florida,no,70.0,1,0,0.0,0.0,26.702682,-80.036514
2022-01-17 03:53:00,2022-01-17 03:53:00,0.0,Florida,Florida,no,70.0,1,0,0.0,0.0,26.677349,-80.049354
2022-01-17 04:53:00,2022-01-17 04:53:00,0.0,Florida,Florida,no,70.0,1,0,0.0,0.0,26.677349,-80.049354
2022-01-17 05:53:00,2022-01-17 05:53:00,0.0,Florida,Florida,no,70.0,1,0,0.0,0.0,26.702682,-80.036514
2022-01-17 06:53:00,2022-01-17 06:53:00,0.0,Florida,Florida,no,70.0,1,0,0.0,0.0,26.702682,-80.036514
2022-01-17 07:53:00,2022-01-17 07:53:00,0.0,Florida,Florida,no,70.0,1,0,0.0,0.0,26.702682,-80.036514
2022-01-17 08:53:00,2022-01-17 08:53:00,0.0,Florida,Florida,no,70.0,1,0,0.0,0.0,26.677349,-80.049354
2022-01-17 09:53:00,2022-01-17 09:53:00,0.0,Florida,Florida,no,70.0,1,0,0.0,0.0,26.677349,-80.049354
2022-01-17 10:53:00,2022-01-17 11:36:00,43.0,Florida,Florida,no,70.0,4,0,15.5,4.39,26.692998,-80.042379
2022-01-17 12:13:00,2022-01-17 12:26:00,13.0,Florida,Florida,no,70.0,4,0,185.0,3.08,26.683678,-80.04614
2022-01-17 13:26:00,2022-01-17 14:08:00,42.0,Florida,Florida,no,75.0,9,0,92.5,3.95,26.68975,-80.045241
2022-01-17 15:03:00,2022-01-17 15:47:00,44.0,Florida,Florida,no,80.0,13,0,61.7,3.09,26.681243,-80.047383
2022-01-17 16:23:00,2022-01-17 16:47:00,24.0,Florida,Florida,no,70.0,3,0,7.7,3.08,26.694238,-80.040794
2022-01-17 17:33:00,2022-01-17 18:29:00,56.0,Florida,Florida,no,80.0,11,0,109.5,3.95,26.700878,-80.042761
2022-01-17 19:07:00,2022-01-17 19:20:00,13.0,Florida,Florida,no,75.0,5,0,0.0,0.0,26.702682,-80.036514
